sample_id	ProlifHubScore	HepLossScore	HCCStateScore	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	disease state:ch1	tissue:ch1	tissue	accession	role	etiology
GSM1398655	-0.5902456400855167	0.7523203432072187	-1.3425659832927355	RNA from HCC_6T	GSM1398655	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_6T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398656	-0.5519416240875646	0.20492294733116664	-0.7568645714187313	RNA from HCC_7N	GSM1398656	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_7N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398657	0.4216750171385914	-0.9022462936046579	1.3239213107432493	RNA from HCC_7T	GSM1398657	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_7T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398658	-0.5191660057450699	0.8176001054488526	-1.3367661111939224	RNA from HCC_8N	GSM1398658	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_8N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398659	0.46125803377826236	-0.8079700176578232	1.2692280514360856	RNA from HCC_8T	GSM1398659	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_8T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398660	-0.5499519715913901	0.9005136111372127	-1.4504655827286028	RNA from HCC_9N	GSM1398660	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_9N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398661	-0.08307385613224001	-0.5567361083481855	0.47366225221594555	RNA from HCC_9T	GSM1398661	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_9T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398662	-0.5935110290667943	0.8992060547796049	-1.4927170838463992	RNA from HCC_10N	GSM1398662	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_10N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398663	1.1870442493305005	-0.9081716951481387	2.095215944478639	RNA from HCC_10T	GSM1398663	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_10T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398664	-0.6337242379038622	1.160586320151752	-1.794310558055614	RNA from HCC_11N	GSM1398664	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_11N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398665	0.00480067654403377	-0.8829017017783855	0.8877023783224193	RNA from HCC_11T	GSM1398665	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_11T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398666	-0.6426767763433374	0.37716773835818085	-1.0198445147015183	RNA from HCC_12N	GSM1398666	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_12N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398667	1.0364041318437576	-0.8561788273412977	1.8925829591850554	RNA from HCC_12T	GSM1398667	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_12T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398668	-0.5721913832721495	0.8195945441661701	-1.3917859274383195	RNA from HCC_13N	GSM1398668	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_13N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398669	-0.5898355230978275	0.8798386220415728	-1.4696741451394004	RNA from HCC_13T	GSM1398669	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_13T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398670	-0.5806690887372783	0.7580107049513989	-1.3386797936886772	RNA from HCC_14N	GSM1398670	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_14N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398671	-0.13163031952838483	-0.5518083829709515	0.42017806344256664	RNA from HCC_14T	GSM1398671	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_14T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398672	-0.40709826009579986	1.2263788138667568	-1.6334770739625566	RNA from HCC_15N	GSM1398672	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_15N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398673	0.26757869048793065	-0.7655591830407718	1.0331378735287025	RNA from HCC_15T	GSM1398673	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_15T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
GSM1398674	-0.5453184249066586	1.2726829109322084	-1.8180013358388671	RNA from HCC_16N	GSM1398674	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_16N	Homo sapiens	tissue: liver tissue	disease state: adjacent non-tumorous	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	adjacent non-tumorous	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	adjacent non-tumorous	liver tissue	non_tumor	GSE57957	added_external_validation	mixed
GSM1398675	0.11229455560008976	-0.7565217348356421	0.8688162904357318	RNA from HCC_16T	GSM1398675	Public on Dec 10 2014	May 24 2014	Dec 10 2014	RNA	1	HCC_16T	Homo sapiens	tissue: liver tissue	disease state: hepatocellular carcinoma tumor	total RNA	RNA was extracted with Trizol reagent. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	tumor	The data were normalised using quantile normalisation with Partek Software	GPL10558	Lee,Guat Lay,Caroline	caroline_lee@nuhs.edu.sg	Liver Cancer Functional Genomics Lab	Department of Biochemistry, National University of Singapore	National Cancer Centre Singapore	11 Hospital Drive	Singapore	169610	Singapore	NONE	47323	hepatocellular carcinoma tumor	liver tissue	tumor	GSE57957	added_external_validation	mixed
